organisasjonsnummer,navn,antallAnsatte,adresse,latitude,longitude,naeringskode_beskrivelse,hjemmeside,kontakt_navn,kontakt_rolle,kontakt_telefon,kontakt_epost,salgsnotater,proff_url
950836792,VVS FINANS AS,15,"Industriveien 16, 1481 HAGAN",59.99064718549029,10.918752870492407,Regnskapsføring og bokføring,,Per-Henrik Ruud,Daglig leder,,,"15 ansatte i regnskap. Spesialisert på VVS-bransjen. Kontorarbeid med faste tider. Del av Abra Invest.",https://www.proff.no/bransjesøk?q=950836792
935378087,ØVERSTAD HANDEL AS,15,"Morteveien 1, 1481 HAGAN",59.98808570154765,10.936766342996375,Detaljhandel med bredt vareutvalg med hovedvekt på nærings- og nytelsesmidler,,Styreleder/Daglig leder,KIWI-kjøpmann,,,"15 ansatte - KIWI dagligvare. Skiftarbeid i butikk. Del av NorgesGruppen. Lokal arbeidsgiver.",https://www.proff.no/bransjesøk?q=935378087
998877393,NORDIC TOOLS AS,14,"Industriveien 26, 1481 HAGAN",59.991315791797696,10.922309189340602,"Engroshandel med tømmer, trelast, byggevarer og sanitærutstyr",,Geir Hellerud,Daglig leder,+4722304070,geir.hellerud@nordictools.no,"14 ansatte i verktøy/byggevarer. Engroshandel med faste arbeidstider. Del av konsern med 7 selskaper. Sentralt i industriområdet.",https://www.proff.no/bransjesøk?q=998877393
976547187,EMPACK NOR AS,12,"Industriveien 8, 1481 HAGAN",59.99043418201735,10.912634208648486,Engroshandel med maskiner og utstyr ellers,https://www.empack.no,Thomas Dahl,Daglig leder,+4723373737,www@empack.no,"12 ansatte - emballasjemaskiner. Engroshandel med service. Kombinasjon av salg og teknikk. Etablert 1996.",https://www.proff.no/bransjesøk?q=976547187
993346292,KARL STORZ ENDOSKOPI NORGE AS,12,"Stamveien 1, 1481 HAGAN",59.9835464523142,10.939446095109513,Engroshandel med apotekvarer og medisinske varer,https://www.karlstorz.com,Anders Engøy,Daglig leder,+4763805600,,"12 ansatte - medisinsk utstyr. Del av tysk konsern. Endoskopi og kirurgisk utstyr. Høyteknologisk bransje.",https://www.proff.no/bransjesøk?q=993346292
984580312,SELMATEC AS,12,"Industriveien 28, 1481 HAGAN",59.990579309089824,10.9248965404718,Uspesifisert engroshandel,,Bøye Einang,Daglig leder,+4763928400,,"12 ansatte - sikkerhetsutstyr. Selger metalldetektor og røntgen. Del av Ege-Gruppen med 116 selskaper. Kontorer i Norden.",https://www.proff.no/bransjesøk?q=984580312
956786282,UNIBAK AS,10,"Masteveien 1, 1481 HAGAN",59.990159528205645,10.917760105473084,Engroshandel med maskiner og utstyr ellers,https://www.unibak.no,Torstein Aase Johnsen,Daglig leder,+4767073000,gunnar.clifford@unibak.no,"10 ansatte - bakeriutstyr. Engroshandel til bakeribransjen. Kombinasjon av salg og service. Etablert 1990.",https://www.proff.no/bransjesøk?q=956786282
960417151,CIMBERIO AS,9,"Industriveien 15, 1481 HAGAN",59.98939668102479,10.914004945963189,"Engroshandel med jernvarer, rørleggerartikler og oppvarmingsutstyr",,Per Erik Raasok,Daglig leder,+4722707910,info@cimberio.no,"9 ansatte - ventiler og VVS. Del av italiensk konsern. Spesialist på ventiler for oppvarming/kjøling. Etablert 1991.",https://www.proff.no/bransjesøk?q=960417151
995717794,OSLO TRYKKLUFT AS,9,"Industriveien 17, 1481 HAGAN",59.98997391567382,10.915078105484449,"Engroshandel med maskiner og utstyr til bergverksdrift, olje- og gassutvinning og bygge- og anleggsvirksomhet",https://www.oslotrykkluft.no,Unni Gulbrandsen,Daglig leder,+4722787300,kontakt@oslotrykkluft.no,"9 ansatte - kompressorer og trykkluft. Familiebedrift siden 1991. Utleie, salg og service. Nær Skytta industriområde.",https://www.proff.no/bransjesøk?q=995717794
821196302,SI TRANSPORT AS,8,"Karushøgda 29, 1481 HAGAN",59.98610806782095,10.931728316238965,Andre post- og budtjenester,,Saqeb Iqbal,Daglig leder,+4745699337,,"8 ansatte i transport/bud. Ansatte kjører til ulike destinasjoner. Budtjeneste - koordinert logistikk relevant. Lokal transportør.",https://www.proff.no/bransjesøk?q=821196302
987338830,DIA PROFF NORGE AS,8,"Masteveien 8, 1481 HAGAN",59.98938071326875,10.915725070885793,Engroshandel med maskinverktøy,https://www.diaproff.no,Carl Ronny Olsen,Daglig leder,+4767067330,post@diaproff.no,"8 ansatte - diamantverktøy. Skandinavias største importør. Spesialmaskiner for betong/asfalt. Del av CRO Invest.",https://www.proff.no/bransjesøk?q=987338830
925238392,NORDISK RENHOLD AS,8,"Karushøgda 42A, 1481 HAGAN",59.98541848742407,10.93226532521991,Rengjøring av bygninger,,Zarah Khan,Styrets leder,,,Ansatte reiser til ulike oppdrag - koordinert transport relevant. Rengjøringsbransjen. Lokalt forankret selskap. Vekstbransje.,https://www.proff.no/bransjesøk?q=925238392
925505803,SENEVI DRIFT AS,8,"Carl Bergersens vei 1, 1481 HAGAN",59.98490117237849,10.928270103924431,Detaljhandel med drivstoff til motorvogner,,Styreleder/Eier,Bensinstasjon,,,"8 ansatte - bensinstasjon. Skiftarbeid. Detaljhandel med drivstoff. Lokal servicebedrift.",https://www.proff.no/bransjesøk?q=925505803
929514351,VENDCOMATIC AS,8,"Masteveien 10, 1481 HAGAN",59.989331406481746,10.914789987753158,Lotteri- og gamblingvirksomhet,,Rune Nilsen,Daglig leder,+4746831000,vidar.nilsen@vendcomatic.no,"8 ansatte - spilleautomater. Etablert 1978. Service på automater - feltarbeidere. Del av Gruvi Games.",https://www.proff.no/bransjesøk?q=929514351
982711339,LOGISNEXT NORWAY AS,7,"Brennaveien 2B, 1481 HAGAN",59.99315758274214,10.922828430099086,Engroshandel med maskiner og utstyr ellers,,Stig Jaltved,Daglig leder,+4723372630,info-no@unicarrierseurope.com,"7 ansatte - trucker og lagerløsninger. Del av japansk Mitsubishi-konsern. Service og salg. Nær Diplom-Is og DVS.",https://www.proff.no/bransjesøk?q=982711339
982179289,NORWEGIAN MOBILITY GROUP AS,7,"Masteveien 4, 1481 HAGAN",59.98953081065779,10.917759574602854,Detaljhandel med motorvogner,,Dag Asbjørnsen,Daglig leder,,,"7 ansatte - bilforhandler. Over 1,2 mrd i omsetning. Del av konsern. Salg og service av biler.",https://www.proff.no/bransjesøk?q=982179289
929047966,UNITEAM PROJECT AS,7,"Brennaveien 14A, 1481 HAGAN",59.99162156332648,10.915175127318781,Oppføring av bygninger,,Knut Erik Lindseth,Daglig leder,,,"7 ansatte - modulbygg. Del av Algeco Norway. Prosjektbasert arbeid. Byggentreprenør.",https://www.proff.no/bransjesøk?q=929047966
946999148,GLOMMEN A/S,7,"Industriveien 12, 1481 HAGAN",59.990386349731445,10.915747354264266,Engroshandel med informasjons- og kommunikasjonsteknologiutstyr,https://www.glommen.as,Bjørn Henning Glommen,Daglig leder,+4722803400,post@glommen.as,"7 ansatte - IT-utstyr. Engroshandel med kontormaskiner. Etablert 1988. Sentralt i industriområdet.",https://www.proff.no/bransjesøk?q=946999148
979593422,AHUS HAGAN VOKSENPSYKIATRI DPS SKYTTA,7,"Brennaveien 18, 1481 HAGAN",59.99172201974707,10.912830463132643,Psykiatriske sykehustjenester for voksne,,Tove Mathiesen,Psykologfaglig rådgiver (kontakt),+4722168200,Tove.Mathiesen@ahus.no,"7 ansatte - psykiatrisk døgnenhet. Del av Ahus. Offentlig helsetjeneste. Faste arbeidstider/skift.",https://www.proff.no/bransjesøk?q=979593422
974637987,NITTEDAL KOMMUNE INSTITUSJONER,407,"Stamveien 6, 1481 HAGAN",59.98384652507307,10.943837286030682,"Offentlig administrasjon tilknyttet helsestell, undervisning, kultur og annen sosial virksomhet",,Adelheid Buschmann Kristiansen,Kommunedirektør,+4767059000,postmottak@nittedal.kommune.no,"407 ansatte - kommunal institusjon. Offentlig arbeidsgiver med miljømål. Stor arbeidsplass med mange ansatte. Potensial for koordinert transport.",https://www.proff.no/bransjesøk?q=974637987
994316486,INTERKIT AS,6,"Industriveien 20, 1481 HAGAN",59.9918601671965,10.920637521526904,Engroshandel med maskiner og utstyr ellers,https://www.interkit.no,Rolf Morten Arnestad,Daglig leder,,interkit@interkit.no,"6 ansatte - industrielt utstyr. Engroshandel med maskiner. Del av Rotek Holding. Sentralt i industriområdet.",https://www.proff.no/bransjesøk?q=994316486
926144405,NOR CAMP AS,6,"Industriveien 1, 1481 HAGAN",59.99092860281035,10.910061337478874,Detaljhandel med motorvogner,,Andre Sverre Øvstegård,Daglig leder,+4767061313,,"6 ansatte - campingvogner. Salg av bobiler og campingvogner. Del av Skytta Nor Holding. Sesongbasert virksomhet.",https://www.proff.no/bransjesøk?q=926144405
952961942,POSTROM MASKINER AS,6,"Industriveien 24, 1481 HAGAN",59.99085050916201,10.920274215110599,Engroshandel med maskiner og utstyr ellers,https://www.postrom.no,Tom Erik Harnes,Daglig leder,+4723338833,info@postrom.no,"6 ansatte - posthåndtering. Importør av postmaskiner. Norskeid selskap. Spesialisert nisje.",https://www.proff.no/bransjesøk?q=952961942
959199299,NORGESMARKISER AMICO AS,5,"Stamveien 7, 1481 HAGAN",59.98387445756011,10.944624028293678,Detaljhandel med tekstiler og utstyrsvarer,,Hege Anita Normann,Daglig leder,+4767062210,hege@norgesmarkiser.no,"5 ansatte - markiser. Ledende leverandør siden 1969. Amico-markiser. Montører i felt.",https://www.proff.no/bransjesøk?q=959199299
993356085,CONOR SKANDINAVIA AS,5,"Morteveien 6, 1481 HAGAN",59.98793564990424,10.940378810830692,Reklamebyråvirksomhet,,Ikke registrert,Daglig leder,+4722557580,,"5 ansatte - reklamebyrå. Markedsføring og kommunikasjon. Kontorarbeid med faste tider.",https://www.proff.no/bransjesøk?q=993356085
993575968,OSLO TRANSPORT & SPEDISJON AS,5,"Brennaveien 12, 1481 HAGAN",59.992812777202715,10.915654566848248,Godstransport på vei,,Rune Steen,Daglig leder,+4767073070,post@otrans.no,"5 ansatte - transport/spedisjon. Del av Helge R Olsen-konsernet. Godstransport. Ansatte på vei - koordinering relevant.",https://www.proff.no/bransjesøk?q=993575968
913979648,GRAND AUTO AS,5,"Brådalsstubben 18, 1481 HAGAN",59.98489680895818,10.927031217614095,Detaljhandel med motorvogner,,Imran Bahadar Khan,Daglig leder,,,"5 ansatte - bilforhandler. Del av Grand Gruppen. Salg og service av biler. Lokalt bilverksted.",https://www.proff.no/bransjesøk?q=913979648
918562796,UTSIKTEN SELSKAPSLOKALE AS,5,"Masteveien 3, 1481 HAGAN",59.989800683693005,10.915874845105416,Utleie av egen eller leid fast eiendom,,Satkunamaran Veluppillai,Daglig leder/Styrets leder,,,"5 ansatte - selskapslokale. Utleie til arrangementer. Servicebransje med varierte tider.",https://www.proff.no/bransjesøk?q=918562796
